ID,姓名,性别,类型,出生日期,国籍,简介
1,谢霆锋,男,演员&歌手,1980/8/29,中国,华语流行乐男歌手、演员、音乐创作人、制作人、主持人、青年企业家，PO朝霆创始人。
2,王菲,女,歌手,1969/8/8,中国,华语流行乐女歌手、演员 ，中国国家一级演员 。
3,陈冠希,男,演员&歌手,1980/10/7,加拿大,拥有八分之一葡萄牙血统 ，加拿大籍华语男歌手、演员、商人。 
4,李亚鹏,男,演员,1971/9/27,中国,毕业于中央戏剧学院表演系，中国内地男演员、公益人士。
5,张柏芝,女,演员&歌手,1980/5/24,中国,出生中国香港，毕业于澳大利亚Rmit Holmes College，中国香港女演员、歌手。
6,周迅,女,演员&歌手,1974/10/18,中国,毕业于浙江艺术学校，中国内地女演员、歌手。
7,张亚东,男,歌手,1969/3/11,中国,中国内地男音乐制作人、歌手、导演。他是一个非常全能的音乐人，在不同的音乐领域和风格上均有建树
8,瞿颖,女,演员&歌手,1971/7/2,中国,毕业于湖南省艺术学校话剧班，国际超模、演员、歌手
9,窦鹏,男,歌手,1978/1/1,中国,毕业于中央音乐学院，中国内地男歌手、音乐制作人
10,朴树,男,歌手,1973/11/8,中国,出生于江苏省南京市，籍贯北京市，中国内地男歌手、音乐制作人、影视演员
11,李大齐,男,歌手,1970/3/4,中国,出生于中国台湾台北，毕业于纽约帕森斯学院，中国台湾男造型师、设计师、演艺DJ
12,窦颖,女,演员&歌手,1972/1/1,中国,中国内地女歌手，吸引力合唱组前成员
13,窦唯,男,歌手,1969/10/14,中国,出生于北京，中国摇滚乐男歌手、实验音乐人
14,张杰,男,歌手,1982/12/20,中国,出生于四川省成都市，中国流行男歌手
15,谢娜,女,演员,1981/5/6,中国,出生于四川省德阳市中江县，毕业于四川师范大学电影电视学院表演系，中国内地主持人、歌手、演员
